service_id,date,exception_type
20180011multiint-1111000,20180207,1
20180011multiint-1111100,20180207,1
20180011multiint-0001100,20180208,1
20180011multiint-1111000,20180208,1
20180011multiint-1111100,20180208,1
20180011multiint-0000100,20180209,1
20180011multiint-0001100,20180209,1
20180011multiint-1111100,20180209,1
20180511multiint-0000010,20180210,1
20180611multiint-0000001,20180211,1
20180011multiint-1111000,20180212,1
20180011multiint-1111100,20180212,1
20180011multiint-1111000,20180213,1
20180011multiint-1111100,20180213,1
20180011multiint-1111000,20180214,1
20180011multiint-1111100,20180214,1
20180011multiint-0001100,20180215,1
20180011multiint-1111000,20180215,1
20180011multiint-1111100,20180215,1
20180011multiint-0000100,20180216,1
20180011multiint-0001100,20180216,1
20180011multiint-1111100,20180216,1
20180511multiint-0000010,20180217,1
20180611multiint-0000001,20180218,1
20180011multiint-1111000,20180219,1
20180011multiint-1111100,20180219,1
20180011multiint-1111000,20180220,1
20180011multiint-1111100,20180220,1
20180011multiint-1111000,20180221,1
20180011multiint-1111100,20180221,1
20180011multiint-0001100,20180222,1
20180011multiint-1111000,20180222,1
20180011multiint-1111100,20180222,1
20180011multiint-0000100,20180223,1
20180011multiint-0001100,20180223,1
20180011multiint-1111100,20180223,1
20181511multiint-0000010,20180224,1
20181611multiint-0000001,20180225,1
20181011multiint-1111000,20180226,1
20181011multiint-1111100,20180226,1
20181011multiint-1111000,20180227,1
20181011multiint-1111100,20180227,1
20181011multiint-1111000,20180228,1
20181011multiint-1111100,20180228,1
20181011multiint-0001100,20180301,1
20181011multiint-1111000,20180301,1
20181011multiint-1111100,20180301,1
20181011multiint-0000100,20180302,1
20181011multiint-0001100,20180302,1
20181011multiint-1111100,20180302,1
20181511multiint-0000010,20180303,1
20181611multiint-0000001,20180304,1
20181011multiint-1111000,20180305,1
20181011multiint-1111100,20180305,1
20181011multiint-1111000,20180306,1
20181011multiint-1111100,20180306,1
20181011multiint-1111000,20180307,1
20181011multiint-1111100,20180307,1
20181011multiint-0001100,20180308,1
20181011multiint-1111000,20180308,1
20181011multiint-1111100,20180308,1
20181011multiint-0000100,20180309,1
20181011multiint-0001100,20180309,1
20181011multiint-1111100,20180309,1
20181511multiint-0000010,20180310,1
20181611multiint-0000001,20180311,1
20181011multiint-1111000,20180312,1
20181011multiint-1111100,20180312,1
20181011multiint-1111000,20180313,1
20181011multiint-1111100,20180313,1
20181011multiint-1111000,20180314,1
20181011multiint-1111100,20180314,1
20181011multiint-0001100,20180315,1
20181011multiint-1111000,20180315,1
20181011multiint-1111100,20180315,1
20181011multiint-0000100,20180316,1
20181011multiint-0001100,20180316,1
20181011multiint-1111100,20180316,1
20181511multiint-0000010,20180317,1
20181611multiint-0000001,20180318,1
20181011multiint-1111000,20180319,1
20181011multiint-1111100,20180319,1
20181011multiint-1111000,20180320,1
20181011multiint-1111100,20180320,1
20181011multiint-1111000,20180321,1
20181011multiint-1111100,20180321,1
20181011multiint-0001100,20180322,1
20181011multiint-1111000,20180322,1
20181011multiint-1111100,20180322,1
20181011multiint-0000100,20180323,1
20181011multiint-0001100,20180323,1
20181011multiint-1111100,20180323,1
20181511multiint-0000010,20180324,1
20181611multiint-0000001,20180325,1
20181011multiint-1111000,20180326,1
20181011multiint-1111100,20180326,1
20181011multiint-1111000,20180327,1
20181011multiint-1111100,20180327,1
20181011multiint-1111000,20180328,1
20181011multiint-1111100,20180328,1
20181011multiint-0001100,20180329,1
20181011multiint-1111000,20180329,1
20181011multiint-1111100,20180329,1
20181512multiint-0000010,20180330,1
20181511multiint-0000010,20180331,1
20181611multiint-0000001,20180401,1
20181513multiint-0000010,20180402,1
20181011multiint-1111000,20180403,1
20181011multiint-1111100,20180403,1
20181011multiint-1111000,20180404,1
20181011multiint-1111100,20180404,1
20181011multiint-0001100,20180405,1
20181011multiint-1111000,20180405,1
20181011multiint-1111100,20180405,1
20181011multiint-0000100,20180406,1
20181011multiint-0001100,20180406,1
20181011multiint-1111100,20180406,1
20181511multiint-0000010,20180407,1
20181611multiint-0000001,20180408,1
20181011multiint-1111000,20180409,1
20181011multiint-1111100,20180409,1
20181011multiint-1111000,20180410,1
20181011multiint-1111100,20180410,1
20181011multiint-1111000,20180411,1
20181011multiint-1111100,20180411,1
20181011multiint-0001100,20180412,1
20181011multiint-1111000,20180412,1
20181011multiint-1111100,20180412,1
20181011multiint-0000100,20180413,1
20181011multiint-0001100,20180413,1
20181011multiint-1111100,20180413,1
20181511multiint-0000010,20180414,1
20181611multiint-0000001,20180415,1
20181011multiint-1111000,20180416,1
20181011multiint-1111100,20180416,1
20181011multiint-1111000,20180417,1
20181011multiint-1111100,20180417,1
20181011multiint-1111000,20180418,1
20181011multiint-1111100,20180418,1
20181011multiint-0001100,20180419,1
20181011multiint-1111000,20180419,1
20181011multiint-1111100,20180419,1
20181011multiint-0000100,20180420,1
20181011multiint-0001100,20180420,1
20181011multiint-1111100,20180420,1
20181511multiint-0000010,20180421,1
20181611multiint-0000001,20180422,1
20181011multiint-1111000,20180423,1
20181011multiint-1111100,20180423,1
20181011multiint-1111000,20180424,1
20181011multiint-1111100,20180424,1
20181011multiint-1111000,20180425,1
20181011multiint-1111100,20180425,1
20181011multiint-0001100,20180426,1
20181011multiint-1111000,20180426,1
20181011multiint-1111100,20180426,1
20181011multiint-0000100,20180427,1
20181011multiint-0001100,20180427,1
20181011multiint-1111100,20180427,1
20181511multiint-0000010,20180428,1
20181611multiint-0000001,20180429,1
20181011multiint-1111000,20180430,1
20181011multiint-1111100,20180430,1
20181011multiint-1111000,20180501,1
20181011multiint-1111100,20180501,1
20181011multiint-1111000,20180502,1
20181011multiint-1111100,20180502,1
20181011multiint-0001100,20180503,1
20181011multiint-1111000,20180503,1
20181011multiint-1111100,20180503,1
20181011multiint-0000100,20180504,1
20181011multiint-0001100,20180504,1
20181011multiint-1111100,20180504,1
20181511multiint-0000010,20180505,1
20181611multiint-0000001,20180506,1
20181011multiint-1111000,20180507,1
20181011multiint-1111100,20180507,1
20181011multiint-1111000,20180508,1
20181011multiint-1111100,20180508,1
20181011multiint-1111000,20180509,1
20181011multiint-1111100,20180509,1
20181011multiint-0001100,20180510,1
20181011multiint-1111000,20180510,1
20181011multiint-1111100,20180510,1
20181011multiint-0000100,20180511,1
20181011multiint-0001100,20180511,1
20181011multiint-1111100,20180511,1
20181511multiint-0000010,20180512,1
20181611multiint-0000001,20180513,1
20181011multiint-1111000,20180514,1
20181011multiint-1111100,20180514,1
20181011multiint-1111000,20180515,1
20181011multiint-1111100,20180515,1
20181011multiint-1111000,20180516,1
20181011multiint-1111100,20180516,1
20181011multiint-0001100,20180517,1
20181011multiint-1111000,20180517,1
20181011multiint-1111100,20180517,1
20181011multiint-0000100,20180518,1
20181011multiint-0001100,20180518,1
20181011multiint-1111100,20180518,1
20181511multiint-0000010,20180519,1
20181611multiint-0000001,20180520,1
20181513multiint-0000010,20180521,1
20181011multiint-1111000,20180522,1
20181011multiint-1111100,20180522,1
20181011multiint-1111000,20180523,1
20181011multiint-1111100,20180523,1
20181011multiint-0001100,20180524,1
20181011multiint-1111000,20180524,1
20181011multiint-1111100,20180524,1
20181011multiint-0000100,20180525,1
20181011multiint-0001100,20180525,1
20181011multiint-1111100,20180525,1
20181511multiint-0000010,20180526,1
20181611multiint-0000001,20180527,1
20181011multiint-1111000,20180528,1
20181011multiint-1111100,20180528,1
20181011multiint-1111000,20180529,1
20181011multiint-1111100,20180529,1
20181011multiint-1111000,20180530,1
20181011multiint-1111100,20180530,1
20181011multiint-0001100,20180531,1
20181011multiint-1111000,20180531,1
20181011multiint-1111100,20180531,1
20181011multiint-0000100,20180601,1
20181011multiint-0001100,20180601,1
20181011multiint-1111100,20180601,1
20181511multiint-0000010,20180602,1
20181611multiint-0000001,20180603,1
20181011multiint-1111000,20180604,1
20181011multiint-1111100,20180604,1
20181011multiint-1111000,20180605,1
20181011multiint-1111100,20180605,1
20181011multiint-1111000,20180606,1
20181011multiint-1111100,20180606,1
20181011multiint-0001100,20180607,1
20181011multiint-1111000,20180607,1
20181011multiint-1111100,20180607,1
20181011multiint-0000100,20180608,1
20181011multiint-0001100,20180608,1
20181011multiint-1111100,20180608,1
20181511multiint-0000010,20180609,1
20181611multiint-0000001,20180610,1
20181011multiint-1111000,20180611,1
20181011multiint-1111100,20180611,1
20181011multiint-1111000,20180612,1
20181011multiint-1111100,20180612,1
20181011multiint-1111000,20180613,1
20181011multiint-1111100,20180613,1
20181011multiint-0001100,20180614,1
20181011multiint-1111000,20180614,1
20181011multiint-1111100,20180614,1
20181011multiint-0000100,20180615,1
20181011multiint-0001100,20180615,1
20181011multiint-1111100,20180615,1
