route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
010360,20180611multiint-0000001,55453125-20180611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600217,2
010360,20180611multiint-0000001,55453117-20180611multiint-0000001,"Station des Roses (Nord)",,0,,03600218,2
010360,20180611multiint-0000001,55453105-20180611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600217,2
010360,20180611multiint-0000001,55453109-20180611multiint-0000001,"Station des Roses (Nord)",,0,,03600218,2
010360,20180611multiint-0000001,55453103-20180611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600217,2
010190,20180611multiint-0000001,55451794-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451758-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451796-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451760-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451798-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451762-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451800-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451764-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451802-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451766-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451804-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010190,20180611multiint-0000001,55451768-20180611multiint-0000001,"Limoilou (Nord)",,0,,01900032,2
010190,20180611multiint-0000001,55451806-20180611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
010010,20180611multiint-0000001,55451145-20180611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100478,2
010010,20180611multiint-0000001,55451171-20180611multiint-0000001,"Station Belvédère (Nord)",,0,,00100477,2
010550,20180611multiint-0000001,55819741-20180611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500388,2
010550,20180611multiint-0000001,55452877-20180611multiint-0000001,"Terminus Beauport (Sud)",,1,,05500384,2
010540,20180611multiint-0000001,55819713-20180611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05400637,2
010520,20180611multiint-0000001,55452842-20180611multiint-0000001,"Terminus Charlesbourg (Ouest)",,1,,05200239,2
010550,20180611multiint-0000001,55819744-20180611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500388,2
010640,20180611multiint-0000001,55452943-20180611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,06400128,2
010860,20180611multiint-0000001,55453015-20180611multiint-0000001,"Terminus Les Saules (Nord)",,0,,08600282,2
